logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,à‹ìx[deg],åoìx[deg],ë»â~ëÃçÇ[cm]
83089,0x1870b,False,255,2443545,2458538,15,34.11419981953553,-117.97830875915902,86276
85101,0x18725,False,362,1139280,1154273,15,34.11419981953553,-117.97830875915902,86276
134259,0x1879d,False,255,2458538,2463216,15,34.11533372339684,-117.97740678255852,90424
136294,0x187bb,False,362,1154273,1158951,15,34.11533372339684,-117.97740678255852,90424
155453,0x187d9,False,255,2463216,2474835,31,34.11565944415416,-117.97708114562022,91700
155594,0x187e4,False,386,0,4394,1,34.11526373450534,-117.97725431573978,89834
155680,0x187ee,False,386,4394,10882,1,34.11477674593096,-117.97764482860865,87821
155920,0x187f8,False,386,10882,19872,1,34.114145672441026,-117.97734433737988,88624
156133,0x18802,False,386,19872,31048,1,34.11482259494132,-117.97694334713205,94918
156141,0x1880c,False,386,31048,31747,1,34.114864420638156,-117.97700009261654,95212
156151,0x18816,False,386,31747,32148,1,34.11488478866287,-117.97703588334309,95373
156274,0x18820,False,386,32148,33744,1,34.11492753636905,-117.97720008482625,95905
158109,0x18850,False,362,1158951,1170570,31,34.11565944415416,-117.97708114562022,91700
158125,0x1885b,False,387,0,4394,1,34.11526373450534,-117.97725431573978,89834
158240,0x18865,False,387,4394,10882,1,34.11477674593096,-117.97764482860865,87821
158333,0x1886f,False,387,10882,19872,1,34.114145672441026,-117.97734433737988,88624
158466,0x18879,False,387,19872,31048,1,34.11482259494132,-117.97694334713205,94918
158493,0x18883,False,387,31048,31747,1,34.114864420638156,-117.97700009261654,95212
158503,0x1888d,False,387,31747,32148,1,34.11488478866287,-117.97703588334309,95373
158588,0x18897,False,387,32148,33744,1,34.11492753636905,-117.97720008482625,95905
185634,0x188e3,False,255,2474835,2480037,31,34.11640761283142,-117.97618394670454,94969
197982,0x18923,False,362,1170570,1175772,31,34.11640761283142,-117.97618394670454,94969
206434,0x1892f,False,255,2480037,2483439,15,34.11671045099308,-117.97574599226373,96400
208162,0x18949,False,362,1175772,1179174,15,34.11671045099308,-117.97574599226373,96400
216412,0x18955,False,255,2483439,2488552,15,34.116896193967406,-117.97544944052945,97417
218552,0x1896f,False,362,1179174,1184287,15,34.116896193967406,-117.97544944052945,97417
236882,0x1898d,False,255,2488552,2494876,15,34.117166091249594,-117.97499933232902,98893
238964,0x189a7,False,362,1184287,1190611,15,34.117166091249594,-117.97499933232902,98893
267818,0x189db,False,255,2494876,2510996,31,34.11749826607236,-117.97444403124378,100600
267823,0x189e5,False,388,0,6318,1,34.117049247519354,-117.9748941394442,98705
267913,0x189ef,False,388,6318,10931,1,34.11678789977841,-117.97528331120854,97202
267918,0x189f9,False,388,10931,19652,1,34.11625422400335,-117.97597750042937,95180
268169,0x18a03,False,388,19652,33250,1,34.11525426295476,-117.97652819146786,94484
268264,0x18a0d,False,388,33250,33548,1,34.1152343140252,-117.97650623088155,94405
268266,0x18a17,False,388,33548,33748,1,34.11522165735141,-117.97649072436069,94346
268273,0x18a21,False,388,33748,33948,1,34.11520967122987,-117.97647446346853,94288
268374,0x18a2b,False,388,33948,35346,1,34.11515694905891,-117.97633850899905,93855
269866,0x18a45,False,362,1190611,1206731,31,34.11749826607236,-117.97444403124378,100600
269986,0x18a4f,False,389,0,6318,1,34.117049247519354,-117.9748941394442,98705
270006,0x18a59,False,389,6318,10931,1,34.11678789977841,-117.97528331120854,97202
270074,0x18a63,False,389,10931,19652,1,34.11625422400335,-117.97597750042937,95180
270353,0x18a6d,False,389,19652,33250,1,34.11525426295476,-117.97652819146786,94484
270355,0x18a77,False,389,33250,33548,1,34.1152343140252,-117.97650623088155,94405
270456,0x18a81,False,389,33548,33748,1,34.11522165735141,-117.97649072436069,94346
270463,0x18a8b,False,389,33748,33948,1,34.11520967122987,-117.97647446346853,94288
270471,0x18a95,False,389,33948,35346,1,34.11515694905891,-117.97633850899905,93855
339898,0x18b77,False,255,2510996,2541058,15,34.118347269044804,-117.9730233824749,105230
341939,0x18b92,False,362,1206731,1236793,15,34.118347269044804,-117.9730233824749,105230
483475,0x18d71,False,255,2541058,2571060,15,34.120145941646804,-117.97060738270417,110387
485510,0x18d8b,False,362,1236793,1266795,15,34.120145941646804,-117.97060738270417,110387
596156,0x18fe4,False,255,2571060,2601044,15,34.12218140301346,-117.96846739900495,114697
598197,0x19000,False,362,1266795,1296779,15,34.12218140301346,-117.96846739900495,114697
