logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane LineèÓïÒ,ëŒè€ÇÃLane Line ID,Lane Line Type,Lane Line Color,Lane Line Width,Reflective Markings,Pavement Striping Present
83089,0x1870e,False,255,2443545,2458538,15,5,4295828445.0,1,2,1,0,0
83089,0x1870e,False,255,2443545,2458538,15,5,8590795741.0,2,1,1,0,0
83089,0x1870e,False,255,2443545,2458538,15,5,12885763037.0,2,1,1,0,0
83089,0x1870e,False,255,2443545,2458538,15,5,17180730333.0,2,1,1,0,0
83089,0x1870e,False,255,2443545,2458538,15,5,21475697629.0,1,1,1,0,0
85101,0x18728,False,362,1139280,1154273,15,5,4295828445.0,1,2,1,0,0
85101,0x18728,False,362,1139280,1154273,15,5,8590795741.0,2,1,1,0,0
85101,0x18728,False,362,1139280,1154273,15,5,12885763037.0,2,1,1,0,0
85101,0x18728,False,362,1139280,1154273,15,5,17180730333.0,2,1,1,0,0
85101,0x18728,False,362,1139280,1154273,15,5,21475697629.0,1,1,1,0,0
134259,0x187a0,False,255,2458538,2463216,15,5,4295828484.0,1,2,1,0,0
134259,0x187a0,False,255,2458538,2463216,15,5,8590795780.0,2,1,1,0,0
134259,0x187a0,False,255,2458538,2463216,15,5,12885763076.0,2,1,1,0,0
134259,0x187a0,False,255,2458538,2463216,15,5,17180730372.0,2,1,1,0,0
134259,0x187a0,False,255,2458538,2463216,15,5,21475697668.0,0,5,0,0,0
136294,0x187be,False,362,1154273,1158951,15,5,4295828484.0,1,2,1,0,0
136294,0x187be,False,362,1154273,1158951,15,5,8590795780.0,2,1,1,0,0
136294,0x187be,False,362,1154273,1158951,15,5,12885763076.0,2,1,1,0,0
136294,0x187be,False,362,1154273,1158951,15,5,17180730372.0,2,1,1,0,0
136294,0x187be,False,362,1154273,1158951,15,5,21475697668.0,0,5,0,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,4295828258.0,1,2,1,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,8590795554.0,2,1,1,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,12885762850.0,2,1,1,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,17180730146.0,2,1,1,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,25770664738.0,0,5,0,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,21475697442.0,0,5,0,0,0
155453,0x187dc,False,255,2463216,2474835,31,7,30065632034.0,1,1,1,0,2
155594,0x187e7,False,386,0,4394,1,2,4298148226.0,2,1,1,0,0
155594,0x187e7,False,386,0,4394,1,2,8593115522.0,1,1,1,0,2
155680,0x187f1,False,386,4394,10882,1,2,4298148224.0,1,1,2,0,0
155680,0x187f1,False,386,4394,10882,1,2,8593115520.0,1,1,1,0,2
155920,0x187fb,False,386,10882,19872,1,2,4298148220.0,1,2,1,0,0
155920,0x187fb,False,386,10882,19872,1,2,8593115516.0,1,1,1,0,2
156133,0x18805,False,386,19872,31048,1,2,4298148242.0,1,2,1,0,0
156133,0x18805,False,386,19872,31048,1,2,8593115538.0,1,1,1,0,2
156141,0x1880f,False,386,31048,31747,1,2,4297342781.0,1,2,1,0,0
156141,0x1880f,False,386,31048,31747,1,2,8592310077.0,1,1,1,0,0
156151,0x18819,False,386,31747,32148,1,2,4297342780.0,0,5,0,0,0
156151,0x18819,False,386,31747,32148,1,2,8592310076.0,0,5,0,0,0
156274,0x18823,False,386,32148,33744,1,2,4297342779.0,1,1,2,0,0
156274,0x18823,False,386,32148,33744,1,2,8592310075.0,1,1,1,0,0
158109,0x18853,False,362,1158951,1170570,31,7,4295828258.0,1,2,1,0,0
158109,0x18853,False,362,1158951,1170570,31,7,8590795554.0,2,1,1,0,0
158109,0x18853,False,362,1158951,1170570,31,7,12885762850.0,2,1,1,0,0
158109,0x18853,False,362,1158951,1170570,31,7,17180730146.0,2,1,1,0,0
158109,0x18853,False,362,1158951,1170570,31,7,25770664738.0,0,5,0,0,0
158109,0x18853,False,362,1158951,1170570,31,7,21475697442.0,0,5,0,0,0
158109,0x18853,False,362,1158951,1170570,31,7,30065632034.0,1,1,1,0,2
158125,0x1885e,False,387,0,4394,1,2,4298148226.0,2,1,1,0,0
158125,0x1885e,False,387,0,4394,1,2,8593115522.0,1,1,1,0,2
158240,0x18868,False,387,4394,10882,1,2,4298148224.0,1,1,2,0,0
158240,0x18868,False,387,4394,10882,1,2,8593115520.0,1,1,1,0,2
158333,0x18872,False,387,10882,19872,1,2,4298148220.0,1,2,1,0,0
158333,0x18872,False,387,10882,19872,1,2,8593115516.0,1,1,1,0,2
158466,0x1887c,False,387,19872,31048,1,2,4298148242.0,1,2,1,0,0
158466,0x1887c,False,387,19872,31048,1,2,8593115538.0,1,1,1,0,2
158493,0x18886,False,387,31048,31747,1,2,4297342781.0,1,2,1,0,0
158493,0x18886,False,387,31048,31747,1,2,8592310077.0,1,1,1,0,0
158503,0x18890,False,387,31747,32148,1,2,4297342780.0,0,5,0,0,0
158503,0x18890,False,387,31747,32148,1,2,8592310076.0,0,5,0,0,0
158588,0x1889a,False,387,32148,33744,1,2,4297342779.0,1,1,2,0,0
158588,0x1889a,False,387,32148,33744,1,2,8592310075.0,1,1,1,0,0
185634,0x188e6,False,255,2474835,2480037,31,7,4295828297.0,1,2,1,0,0
185634,0x188e6,False,255,2474835,2480037,31,7,8590795593.0,2,1,1,0,0
185634,0x188e6,False,255,2474835,2480037,31,7,12885762889.0,2,1,1,0,0
185634,0x188e6,False,255,2474835,2480037,31,7,17180730185.0,2,1,1,0,0
185634,0x188e6,False,255,2474835,2480037,31,7,25770664777.0,0,5,0,0,0
